"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Antigua and Barbuda","ATG","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1596.41249636546","","","","","","","","","","","","","","1652.02281015199","1659.29873433053","1713.25194388201","1729.91930992808","","","","","","","","",
"Australia","AUS","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","3063.55427059293","3115.78708385004","3172.97486501583","3284.05095890411","3349.41416674129","3463.21557780119","3546.53797957257","3692.80794982626","3763.55841452244","3792.93476310854","4063.41136963301","3989.6297441447","4035.20634438795","4264.27122571001","4294.16162646652","4345.87144605197","4405.70298581914","4671.19567361894","4629.61847053907","4683.85317624363","4737.4820310373","4694.67642526964","4817.4895243115","4555.14620339645","4651.71242923314","4602.9565300165","4623.73907506368","4772.3704646487","4702.84160607784","5001.10310210296","5061.5084587843","4927.78158990974","4959.21491854816","5147.53665025188","5089.788966676","5129.22366091191","5393.58063459123","5469.59998919911","5553.65346587569","5610.34471097961","5644.06495066047","5446.97321382579","5569.64099249926","5568.76494063954","5598.0881783042","5564.08716927844","5551.50493528329","5692.92592521462","5763.50577904109","5628.32613395907","5559.7519035029","5500.22421641087","5643.82385026144","5591.7150007083","","",
"Austria","AUT","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","1546.26146801032","1554.0349059502","1675.87362115182","1823.99522506933","1855.08515530813","1851.84356410887","1902.7564078226","1920.21212422723","2045.82812289501","2181.63230885943","2418.21012909186","2508.5209190556","2627.32249578186","2830.94680215103","2730.43732640895","2654.84872942694","2866.97592037565","2797.4219223802","2893.02229941797","3138.91614262013","3067.01191996803","2897.00939790268","2830.22178095467","2843.40556816995","2953.68814962876","3051.59706199021","3061.58886225966","3174.74539202539","3204.56218243746","3138.98348816934","3233.9489570648","3408.50503250142","3239.06396730194","3248.98183358625","3227.84376441983","3366.17805768746","3571.90818916457","3542.52143029887","3598.70368891543","3582.98875270822","3562.3251434239","3749.74910762391","3765.28296302492","3964.41855078845","3998.73898153761","4104.07143852892","4091.94630653332","4029.62695258277","4040.79639045672","3810.50835500436","4080.23455521221","3950.72502488488","3927.5794007372","3927.59867325127","","",
"Azerbaijan","AZE","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3165.49490152256","3087.87470774309","2464.59739907884","2175.2844563042","1947.69198367777","1809.15432661028","1513.67319335309","1444.31945906293","1485.15341842538","1369.11189752905","1403.43326789752","1410.96545517309","1414.52811140548","1476.59088424964","1539.23012098959","1599.9606761322","1559.56874554337","1411.557339797","1520.31391925508","1334.16617834119","1279.552594272","1369.35099893362","1472.89739090323","","","",
"Burundi","BDI","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","2519.49731954668","2570.81562308497","2810.06114801046","3043.30699253049","3021.64721197111","3116.03356288847","3051.29742867378","3182.92345750038","3590.00425834692","3877.04436394157","4135.19976958327","4099.95531967727","4473.92951272846","4720.78411204592","4617.49859476963","4317.93565765711","4622.23311805686","4589.52440999605","4826.56495724289","4976.77709901992","4743.42206023546","4415.35860396134","4208.2578021394","4156.25740701658","4334.90242681859","4474.0629933656","4633.92001661356","4727.68639527695","4770.94839816823","4798.9264514706","4844.47827257296","5056.01817024883","5092.96578510761","4954.28319272942","5225.40682942974","5304.05065261649","5586.81244589129","5579.51075727968","5659.6934943107","5688.97196565093","5713.57736861358","5682.02705080508","5461.40290347665","5714.57391689177","5656.6315172711","5606.21864507501","5517.03647284147","5374.49833893296","5486.61037707565","5209.05168002239","5544.3336942523","5369.19238896195","5027.74111931027","5020.26761235563","","",
"Benin","BEN","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","371.803477929071","380.812029085645","380.161372366059","379.376721398679","381.113584326374","360.415674662778","363.74612427606","368.251936411345","364.669812898075","363.781944387664","353.270598183353","355.338045025189","354.985672445809","353.328844025699","359.824904606972","352.776450067392","347.306591795758","345.69655577195","336.858592625676","332.178560209995","325.452554498049","321.349456121777","316.872789936981","312.326825527226","308.575932671061","348.231260113226","350.789720530439","336.240335092392","340.656785981911","285.30228512932","293.877652280286","305.049237033672","311.193226016058","314.346728099524","305.447864565269","349.25756038484","368.216084340677","365.242978651087","372.121382770792","384.167991791203","385.409991276553","389.572639911353","","","",
"Burkina Faso","BFA","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bangladesh","BGD","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","85.6080442714979","86.9037669769637","92.5296444115447","93.9567249673387","94.4184113574335","98.1102809444965","97.8607631050181","98.4585146161236","99.5156588705102","103.268679326391","102.555620433605","105.472946291613","105.172143757472","103.898584290512","106.96827965138","111.493302232808","106.849983242869","114.358616263333","117.004276504431","120.166297022953","115.68806686821","119.382830451141","123.317980513698","126.052414334767","134.232707991254","132.16970923286","135.182194761885","138.023726368343","137.053738246854","139.00749751264","149.152968052641","149.900370301488","155.204386684248","155.747900727406","159.208384127727","167.754873164964","173.490114141915","180.011142208737","187.806877645511","201.723817147228","206.592565857369","213.657898287313","","","",
"Bulgaria","BGR","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","2228.68705114981","2262.78654882116","2378.25373882072","2463.24405199139","2665.459429943","2780.33176310504","2954.26673888991","3084.45204192587","3200.49898367766","3203.61009689631","3185.50953721563","3309.20642510527","3370.13232378846","3387.27422330384","3419.76767712953","3450.94171566942","3411.07339478891","3488.29275375034","3426.94220506722","3237.35265027347","2538.07281363269","2398.68227354884","2602.24215040214","2518.46033281337","2739.84206882957","2746.96005871699","2503.52607798685","2425.94624591215","2225.87247936332","2287.3848922642","2420.85265829805","2397.05378480284","2479.54440671935","2420.35359504835","2570.85931342782","2657.3250881281","2666.1172766548","2644.01023895568","2351.93485933064","2420.08875819254","2614.71616400357","2511.00482241173","","","",
